conversation_id,turn_number,user_id_hashed,timestamp,country,user_intent,user_emotion,topic_name,engagement_time_sec,confusion_score,trust_score,satisfaction_score,sentiment_compound,sentiment_positive,sentiment_negative,som_cluster,archetype_name,umap_1,umap_2,total_turns,hour_of_day,is_weekend
0,0,01f65bcd11c483e0,2024-07-07,CA,brainstorming,disappointed,Product Recommendations,156.28366152930636,0.0475963057993247,0.5506733305176836,0.5696837111649737,0.15473618603204106,0.15473618603204106,0.0,18,✅ Efficient Collaborator,-5.648478,14.248822,6,0,1
0,1,01f65bcd11c483e0,2024-01-22,CA,problem_solving,disappointed,Coding Help,35.734753351652614,0.21399710099533448,0.5964170737265085,0.6257290803048448,0.34501640064310907,0.34501640064310907,0.0,18,✅ Efficient Collaborator,-0.38957992,17.254227,6,0,0
0,2,01f65bcd11c483e0,2024-11-24,CA,information_seeking,curious,Personal Development,34.19924657321749,0.23829047191334443,0.6378466426130497,0.9368727623960331,-0.03892054851308396,0.0,0.03892054851308396,42,⚖️ Balanced User,13.1189,5.310188,6,0,1
0,3,01f65bcd11c483e0,2024-07-09,CA,learning,disappointed,Other,185.91363627288803,0.7921012658607711,0.5348067242633596,0.695698416380756,0.5021505927213156,0.5021505927213156,0.0,18,✅ Efficient Collaborator,-2.9999714,15.113669,6,0,0
0,4,01f65bcd11c483e0,2024-10-06,CA,information_seeking,satisfied,Learning & Education,186.67954905455989,0.21316074384845318,0.697408644558147,0.5815748175999593,0.5447172680516933,0.5447172680516933,0.0,27,✅ Efficient Collaborator,10.922202,11.220242,6,0,1
0,5,01f65bcd11c483e0,2024-03-02,CA,information_seeking,confused,Health & Wellness,106.68793600515717,0.28663975439514916,0.7748203679439254,0.6030293782149605,0.3868835376879764,0.3868835376879764,0.0,27,✅ Efficient Collaborator,9.556451,5.4338646,6,0,1
0,6,01f65bcd11c483e0,2024-07-25,CA,brainstorming,neutral,Personal Development,115.2524612561028,0.32962801361492455,0.4973213192277028,0.6218715021677034,0.5911402153755124,0.5911402153755124,0.0,21,⚖️ Balanced User,-2.99391,8.947344,6,0,0
1,0,f83a4a2251398d6d,2024-04-17,JP,learning,satisfied,General Knowledge,301.70911791434776,0.1838512018703591,0.5707852413430351,0.39792425934501763,-0.2627744435837134,0.0,0.2627744435837134,32,⚖️ Balanced User,14.54122,-2.2487736,12,0,0
1,1,f83a4a2251398d6d,2024-11-13,JP,information_seeking,neutral,Product Recommendations,175.6904372257026,0.24866576671933452,0.4954146252992217,0.6243906377874918,-0.6588529953792281,0.0,0.6588529953792281,34,😞 Frustrated User,12.101093,8.225564,12,0,0
1,2,f83a4a2251398d6d,2024-03-21,JP,brainstorming,frustrated,Business Strategy,80.78745898519651,0.46371118927675403,0.508410975794219,0.5693583964384521,0.3778961307664685,0.3778961307664685,0.0,20,📚 Curious Learner,-9.462632,9.784219,12,0,0
1,3,f83a4a2251398d6d,2024-09-11,JP,explanation_request,confused,Career Advice,49.60361464565803,0.21120777752532877,0.5251631155269065,0.5567816976541359,0.11088809195222316,0.11088809195222316,0.0,0,😞 Frustrated User,-0.6044503,0.041966975,12,0,0
1,4,f83a4a2251398d6d,2024-05-27,JP,learning,neutral,Product Recommendations,361.2412581365169,0.1877505445891079,0.3824516491636184,0.5150826514502844,-0.1686378351134919,0.0,0.1686378351134919,25,⚖️ Balanced User,16.799448,0.6095278,12,0,0
