date,conversation_id,satisfaction_score,trust_score,confusion_score,sentiment_compound,engagement_time_sec
2024-01-01,95,0.547,0.529,0.363,0.104,171.615
2024-01-02,98,0.478,0.481,0.375,-0.062,159.136
2024-01-03,109,0.522,0.508,0.376,0.013,152.146
2024-01-04,110,0.522,0.523,0.374,0.008,171.443
2024-01-05,102,0.524,0.496,0.36,-0.003,172.155
2024-01-06,102,0.496,0.472,0.361,0.018,177.756
2024-01-07,127,0.481,0.493,0.393,-0.034,145.051
2024-01-08,92,0.514,0.497,0.388,0.046,144.307
2024-01-09,107,0.484,0.492,0.385,-0.037,168.19
2024-01-10,107,0.482,0.482,0.369,0.084,131.365
2024-01-11,114,0.49,0.504,0.362,-0.02,148.69
2024-01-12,102,0.529,0.519,0.359,0.025,152.88
2024-01-13,110,0.499,0.492,0.345,0.019,152.581
2024-01-14,107,0.451,0.452,0.379,-0.082,147.402
2024-01-15,108,0.497,0.482,0.361,-0.015,153.339
2024-01-16,105,0.506,0.497,0.388,0.015,142.743
2024-01-17,96,0.493,0.501,0.375,-0.041,149.989
2024-01-18,97,0.5,0.502,0.407,-0.036,138.502
2024-01-19,100,0.478,0.471,0.355,-0.077,155.023
2024-01-20,104,0.49,0.488,0.372,-0.045,158.99
2024-01-21,95,0.49,0.496,0.361,-0.047,151.569
2024-01-22,89,0.513,0.495,0.358,0.035,140.148
2024-01-23,113,0.503,0.505,0.372,-0.018,149.728
2024-01-24,110,0.517,0.518,0.398,0.061,146.04
2024-01-25,110,0.514,0.534,0.368,-0.045,160.701
2024-01-26,114,0.505,0.492,0.369,0.01,156.23
2024-01-27,114,0.512,0.489,0.362,-0.0,160.028
2024-01-28,92,0.471,0.486,0.372,0.028,149.606
2024-01-29,113,0.516,0.51,0.372,0.007,139.064
2024-01-30,121,0.494,0.506,0.375,0.01,161.364
2024-01-31,102,0.503,0.508,0.369,0.003,159.356
2024-02-01,118,0.503,0.476,0.332,-0.011,149.527
2024-02-02,97,0.508,0.516,0.364,-0.003,138.718
2024-02-03,104,0.491,0.485,0.365,0.002,160.72
2024-02-04,89,0.511,0.501,0.345,-0.016,137.093
2024-02-05,114,0.51,0.5,0.38,0.04,163.935
2024-02-06,84,0.503,0.493,0.373,0.041,151.196
2024-02-07,82,0.479,0.474,0.398,-0.071,178.407
2024-02-08,107,0.541,0.519,0.361,0.015,153.983
2024-02-09,103,0.494,0.492,0.37,-0.026,142.801
2024-02-10,102,0.495,0.504,0.385,-0.008,161.601
2024-02-11,109,0.507,0.513,0.356,0.038,167.004
2024-02-12,97,0.478,0.483,0.376,-0.047,137.713
2024-02-13,93,0.509,0.509,0.362,0.014,168.959
2024-02-14,117,0.512,0.495,0.371,0.027,157.45
2024-02-15,103,0.504,0.515,0.411,-0.06,166.536
2024-02-16,102,0.493,0.492,0.37,0.001,147.38
2024-02-17,103,0.507,0.515,0.375,0.027,147.984
2024-02-18,105,0.531,0.525,0.388,-0.011,153.272
2024-02-19,122,0.517,0.516,0.37,0.03,156.021
2024-02-20,79,0.49,0.486,0.38,-0.027,158.292
2024-02-21,92,0.482,0.497,0.37,-0.019,167.02
2024-02-22,103,0.493,0.519,0.392,0.02,152.966
2024-02-23,97,0.515,0.52,0.4,0.05,158.816
2024-02-24,111,0.533,0.514,0.358,0.078,175.043
2024-02-25,97,0.493,0.501,0.353,-0.002,167.401
2024-02-26,103,0.518,0.501,0.38,0.04,153.861
2024-02-27,90,0.486,0.498,0.353,0.029,132.432
2024-02-28,112,0.504,0.494,0.373,0.037,161.658
2024-02-29,95,0.502,0.486,0.375,0.018,156.254
2024-03-01,95,0.526,0.504,0.376,0.028,147.025
2024-03-02,93,0.48,0.481,0.369,0.007,160.32
2024-03-03,100,0.48,0.48,0.381,-0.061,149.496
2024-03-04,106,0.484,0.478,0.381,-0.004,145.584
2024-03-05,92,0.509,0.504,0.368,-0.008,137.854
2024-03-06,99,0.491,0.491,0.35,-0.062,122.667
2024-03-07,96,0.495,0.465,0.381,-0.054,148.233
2024-03-08,112,0.484,0.519,0.361,0.004,153.536
2024-03-09,82,0.508,0.519,0.365,0.052,142.484
2024-03-10,103,0.467,0.468,0.376,-0.089,146.661
2024-03-11,108,0.536,0.507,0.362,0.053,144.738
2024-03-12,93,0.507,0.514,0.359,-0.017,142.585
2024-03-13,108,0.49,0.499,0.363,-0.028,148.586
2024-03-14,118,0.487,0.475,0.369,-0.013,144.806
2024-03-15,101,0.487,0.473,0.395,-0.025,154.567
2024-03-16,104,0.547,0.547,0.369,0.102,158.407
2024-03-17,105,0.507,0.51,0.385,0.017,150.736
2024-03-18,102,0.53,0.547,0.36,0.05,145.675
2024-03-19,103,0.506,0.511,0.357,-0.006,127.263
2024-03-20,105,0.473,0.503,0.346,0.004,157.322
2024-03-21,110,0.517,0.496,0.385,0.048,143.946
2024-03-22,97,0.513,0.494,0.346,0.017,160.587
2024-03-23,118,0.494,0.486,0.361,-0.08,155.94
2024-03-24,89,0.543,0.51,0.372,0.02,165.447
2024-03-25,101,0.461,0.477,0.389,-0.077,150.092
2024-03-26,104,0.479,0.493,0.365,-0.005,152.079
2024-03-27,102,0.526,0.533,0.365,0.095,136.78
2024-03-28,103,0.522,0.516,0.395,-0.003,138.155
2024-03-29,92,0.508,0.524,0.377,0.031,148.888
2024-03-30,95,0.509,0.491,0.351,-0.063,156.313
2024-03-31,96,0.486,0.489,0.371,-0.016,162.137
2024-04-01,85,0.506,0.469,0.352,0.008,173.874
2024-04-02,126,0.505,0.495,0.362,-0.044,147.713
2024-04-03,92,0.478,0.49,0.377,-0.035,145.52
2024-04-04,119,0.513,0.502,0.378,0.045,143.711
2024-04-05,104,0.519,0.501,0.383,0.027,144.504
