archetype_name,conversation_id_count,engagement_time_sec_mean,engagement_time_sec_median,engagement_time_sec_std,confusion_score_mean,trust_score_mean,satisfaction_score_mean,sentiment_compound_mean,total_turns_mean,user_message_length_mean
⚖️ Balanced User,5387,144.798,108.247,113.509,0.352,0.487,0.489,-0.032,8.13,82.593
✅ Efficient Collaborator,8059,146.637,111.719,114.431,0.342,0.598,0.597,0.252,7.259,112.653
❓ Confused Explorer,2238,113.146,92.264,75.579,0.448,0.526,0.525,0.115,10.886,74.945
🎯 Engaged Enthusiast,1328,194.553,163.171,133.851,0.363,0.674,0.673,0.478,8.683,84.581
👍 Satisfied User,720,144.015,111.161,105.521,0.373,0.709,0.701,0.56,8.119,87.585
📚 Curious Learner,3155,158.812,123.15,119.196,0.394,0.668,0.67,0.434,9.631,80.835
😊 Optimistic Explorer,759,119.794,98.068,85.774,0.371,0.585,0.579,0.2,8.623,123.267
😞 Frustrated User,7694,150.392,115.545,114.907,0.379,0.339,0.339,-0.469,9.268,85.11
🚶 Passive Observer,858,102.176,79.95,73.002,0.394,0.452,0.452,-0.047,7.167,86.668
🤔 Persistent Seeker,1017,166.614,127.926,125.935,0.429,0.506,0.509,0.023,10.047,72.588
🧐 Skeptical Critic,6441,164.062,125.317,126.098,0.378,0.421,0.423,-0.178,9.246,79.89
