archetype_name,Business Strategy,Career Advice,Coding Help,Creative Writing,Entertainment,General Knowledge,Health & Wellness,Learning & Education,Math & Science,News & Current Events,Other,Personal Development,Product Recommendations,Technical Support,Travel Planning
⚖️ Balanced User,360,352,348,363,364,360,359,372,364,309,370,382,374,343,367
✅ Efficient Collaborator,588,553,544,562,531,562,522,492,521,511,524,582,533,506,528
❓ Confused Explorer,138,169,146,152,137,132,177,133,156,143,150,133,158,167,147
🎯 Engaged Enthusiast,90,78,79,84,77,80,101,82,97,105,105,93,83,84,90
👍 Satisfied User,60,43,49,55,48,52,52,45,52,36,40,37,44,53,54
📚 Curious Learner,198,199,192,215,218,191,188,211,190,220,226,235,249,224,199
😊 Optimistic Explorer,47,44,56,48,54,47,60,52,56,48,49,49,58,48,43
😞 Frustrated User,506,519,530,506,522,488,524,507,522,534,508,518,484,538,488
🚶 Passive Observer,62,61,46,64,62,45,45,61,58,48,59,59,58,68,62
🤔 Persistent Seeker,66,86,78,58,66,63,59,46,77,53,81,66,88,76,54
🧐 Skeptical Critic,440,401,450,423,441,437,396,375,453,428,457,442,422,463,413
